latitude,longitude,date,flag,title,place_name,place_url,time_string,signup_url
50.7369,-3.5377,2016-11-02,gb,Missing Maps Exeter,"University of Exeter: Forum Exploration Lab 1, Exeter, United Kingdom",http://www.openstreetmap.org/way/19989374,18:00-20:00,https://www.facebook.com/events/279649152428883/
33.58444,-101.87411,2016-11-02,us,#100mapathons Texas Tech MapOff with West Virginia,"Texas Tech University, Lubbock, United States",http://www.openstreetmap.org/node/356750751,18:40-20:00,n/a
42.7947,-77.8228,2016-11-02,us,#100mapathons SUNY Youth Mappers Mapathon,"SUNY Geneseo, United States",http://www.openstreetmap.org/search?query=1%20College%20Circle%20Geneseo%2C%20NY%2014454#map=15/42.7947/-77.8228,16:30-18:30,n/a
32.84428,-96.78407,2016-11-03,us,SMU Mapathon Map Party,"Collaborative Commons, Fondren Library, Dallas, TX, United States",http://osm.org/go/Tt5NtgX6Q?m,12:00-17:00,http://libcal.smu.edu/event/2839561
48.19544,16.36678,2016-11-07,at,Joint RC and MSF Mapathon Vienna,"Austrian Red Cross, Wiedner Hauptstrasse 32, 1040 Wien, Vienna, Austria",http://www.openstreetmap.org/#map=5/51.500/-0.100,15:00-18:00,https://www.eventbrite.fr/e/billets-missing-maps-vienna-austria-7th-of-november-29077083339
38.89921,-77.04836,2016-11-09,us,#100mapathons GWU Humanitarian Mapping Society & Missing Maps: November Mapathon,"Gelman Library, Washington DC, United States",http://www.openstreetmap.org/search?query=gELMAN%20LIBRARY%2C%20WASHINGTON%20DC#map=19/38.89921/-77.04836,19:00-21:00,
7.7567,-8.8148,2016-11-10,gn,#100mapathons American Red Cross Mapathon,"N'zerekore, Guinea",n/a,00:00-00:00,n/a
49.59247,17.2635,2016-11-10,cz,#100mapathons 1. olomoucký mapathon s Lékaři bez hranic - Missing Maps,"Faculty of Science, Olomouc, Czech Republic",http://www.openstreetmap.org/search?query=17.%20listopadu%2012%20Olomouc#map=19/49.59247/17.26350,18:00-21:00,https://www.facebook.com/events/1669268096719058/
28.20906,83.99585,2016-11-10,np,#100mapathons KLL Open Data Challenge,"Kathmandu Living Labs, Pokhara, Pokhara, Nepal",http://www.openstreetmap.org/?mlat=28.209065794944763&mlon=83.99585098028183#map=19/28.20906/83.99585,10:00-17:00,
39.63051,-79.958,2016-11-11,us,#100mapathon West Virginia University YouthMappers Mapathon,"Morgantown Brewing Company, Morgantown, United States",http://www.openstreetmap.org/search?query=West%20Virginia%20University%20morgantown#map=19/39.63051/-79.95800,15:00-17:00,n/a
